Words,Counts
לא,492
זה,336
את,275
של,260
על,225
יש,210
מה,159
אני,156
כל,149
גם,146
עם,122
לי,109
אין,99
אז,97
מצורף,87
אבל,83
אחד,82
שלא,80
מי,79
העורף,77
רק,77
שיש,76
שמיעה,75
ההודעה,69
תודה,68
שעון,68
טוב,66
נערכה,62
נכון,61
פיקוד,60
אנשים,56
הוא,56
יותר,53
אפשר,52
ולא,50
רטט,45
צריך,45
זו,43
הזה,42
בכל,39
למי,39
ממש,38
אזעקה,38
דרך,38
כבר,38
לך,37
כאן,37
הרווחה,37
האם,37
לקבל,37
שזה,37
שם,36
כך,36
כמו,36
תקשורת,35
לו,35
כדי,35
חכם,34
בזמן,33
כמה,33
היה,32
מאוד,32
היא,32
אתה,32
השעון,32
התראה,31
עידו,31
הם,30
נמחקה,30
לקבוצה,30
להיות,30
קשר,30
קישור,30
שעונים,29
היום,28
איך,28
וגם,28
אפליקציה,28
לעשות,27
זאת,27
ניתן,27
מתאים,27
באמצעות,26
החזר,26
לפני,26
וזה,26
הכל,26
יכול,26
בבקשה,25
אשמח,25
משהו,25
להם,25
שלך,25
האפליקציה,24
עוד,24
איזה,24
בין,24
לפי,24
מקבל,23
לכל,23
מול,23
הרבה,23
הכי,22
אחת,22
פעם,22
שלו,22
חירשים,22
הזמן,21
השעונים,21
דבר,21
לה,21
בגלל,21
בדיוק,21
לנו,21
עובד,21
מספר,21
שיאומי,20
אלא,20
למה,20
שהם,20
אזעקות,20
ללא,20
לפנות,20
בכלל,19
בלי,19
רוצה,19
שהוא,19
פה,19
אנחנו,19
שלום,19
חכמים,19
טלפון,19
מאד,19
התראות,19
מידע,18
בפרטי,18
שלהם,18
אותו,18
ואם,18
שיהיה,18
שלי,18
בוקר,18
לזה,18
שנים,18
שכל,18
תמיד,18
אביב,18
עבור,17
תל,17
מישהו,17
יהיה,17
סל,17
דברים,17
שאין,17
אולי,17
כולם,17
אחר,17
לקנות,16
אקטיב,16
יום,16
בעיה,16
לדעת,16
הבנתי,16
תלוי,16
טובה,16
רוצים,16
כתוביות,16
שוב,16
לגבי,16
לכולם,16
באופן,16
אפליקציות,16
הטלפון,16
במקום,15
שמש,15
מוגבלות,15
אפשרות,15
צפירה,15
וכל,15
באמת,15
עכשיו,15
אדם,15
פשוט,15
בלבד,15
בקבוצה,15
יודע,15
אדום,15
תהיה,14
בית,14
לשמוע,14
נראה,14
איפה,14
שאני,14
שאפשר,14
התרעה,14
להגדיר,14
כדאי,14
כרית,14
שירות,14
למשרד,14
לכם,14
אחרת,14
ברור,14
חשוב,14
משרד,13
אחרי,13
ככה,13
המספר,13
שאלה,13
וכבדי,13
ויש,13
דגם,13
ראש,13
כולל,13
שלנו,13
זמן,13
הכתוביות,13
הודעה,13
שח,13
במצב,13
קצת,12
הקבוצה,12
האפליקציות,12
צורך,12
בה,12
למשל,12
מענה,12
צמיד,12
ואז,12
שום,12
אגודת,12
חלוקת,12
הוט,12
אחרים,12
המצב,12
אותם,12
מספיק,12
חלק,12
כיתוביות,12
ואני,12
כבדי,12
מקום,12
שקל,12
מכיר,12
כזה,11
חיבור,11
לעזור,11
אייפון,11
כלום,11
קשור,11
בנושא,11
חלש,11
קודם,11
עדיין,11
האזעקה,11
הודעות,11
עושה,11
המלחמה,11
חזק,11
איכות,11
עניין,11
לשלוח,11
האנשים,11
מצב,11
רווחה,11
בערוץ,11
להתראות,11
דיבור,11
חרשים,11
רגיל,11
אתמול,10
מעולה,10
צמידים,10
באפליקציה,10
ידוע,10
לאנשים,10
שפיר,10
נושא,10
לאייפון,10
ליהי,10
ישראל,10
אישית,10
לדעתי,10
אצלי,10
חדש,10
אותי,10
אמרו,10
שאתה,10
חבל,10
להבין,10
כנראה,10
הזו,10
למספר,10
כומתה,10
חולים,10
פתרון,10
אליכם,10
השמיעה,10
אייל,10
צבע,10
המידע,10
מחלקים,10
