Words,Counts
ab,1
active,1
amplifon,2
band,3
bettear,2
big,1
community,3
connect,1
etty,1
free,2
gn,1
gnresound,1
gps,11
granot,1
gsp,1
hershimm,2
http,1
https,63
ido,1
inna,1
irit,1
ksp,1
led,3
liora,2
liraz,2
lugassi,1
lydia,1
meitav,5
miri,1
nava,1
oren,1
orit,1
pdf,1
pliscov,1
rabinovitz,1
raviv,1
resound,3
sephora,6
shlomit,1
short,1
shosh,1
smart,2
tal,1
tamar,2
the,1
tv,2
twizer,1
usb,1
uzan,1
xiaomi,2
yotam,2
zoom,1
אאוץ,1
אבדוק,6
אבולעפיה,2
אבחנה,4
אבטחה,1
אבטחת,5
אבי,2
אביב,18
אביזר,2
אביזרי,1
אבין,1
אבל,83
אבקש,5
אברהם,1
אגב,2
אגודת,12
אגיב,1
אגיד,1
אגף,1
אגש,1
אדאג,1
אדום,15
אדומה,6
אדיב,1
אדם,15
אה,6
אהרון,1
או,119
אודות,1
אודיו,1
אודיוגרמה,1
אודיע,1
אוהבים,1
אוהבת,2
אוזן,1
אוטומטי,1
אוטומטית,4
אוי,1
אוכל,1
אוכלוסיות,1
אוכלוסיית,1
אולאיל,1
אולי,17
אוליאל,2
אולפן,1
אומר,8
אומרים,3
אומרת,6
אונו,1
אופה,1
אופטימי,1
אופטימים,2
אופטימלים,1
אופן,5
אופציה,3
אופציות,1
אופקי,1
אוקון,7
אוקטובר,1
אוקי,1
אוקיי,5
אור,4
אורטפון,1
אורית,1
אורנג,1
אושרו,1
אות,2
אותה,4
אותו,18
אותי,10
אותיות,1
אותך,7
אותכם,1
אותם,12
אותן,2
אותנו,6
אז,97
אזהרה,1
אזור,3
אזורי,4
אזורים,7
אזורית,1
אזי,2
אזעקה,38
אזעקות,20
אזרחים,1
אזרחית,1
אח,8
אחא,9
אחד,82
אחוז,4
אחוזי,1
אחורה,4
אחזה,1
אחזיק,1
אחכ,2
אחלה,2
אחפש,2
אחר,17
אחראיות,1
אחראית,1
אחרהצ,1
אחרון,1
אחרות,9
אחרי,13
אחריה,1
אחריות,2
אחרים,12
אחרת,14
אחת,22
אחתה,1
אטומים,1
אי,8
איזה,24
איזו,8
איזור,2
איזורי,2
איזורים,1
איזשהו,1
איחר,1
איטיות,1
איטית,2
איטרנט,2
אייל,10
אייפון,11
איך,28
איכות,11
איכותיות,1
איל,5
אילו,2
אילם,2
אילמים,7
אילן,3
אילנה,2
אין,99
אינבדואלי,1
אינדיבידואלית,1
אינה,2
אינו,4
אינטרנט,3
אינטרס,1
איני,1
אינכם,1
אינם,1
אינסטגרם,1
אינפורמציה,1
איסוף,1
איפה,14
איקס,1
אירגון,1
אירוע,1
אירועי,1
איש,4
אישור,2
אישי,5
אישיות,1
אישית,10
אישר,1
איתו,4
איתי,3
איתך,1
איתם,2
איתנו,3
אך,14
אכן,7
אכפתיות,1
אכשהו,1
אל,9
אלא,20
אלה,5
אלו,6
אלול,5
אלוף,1
אלי,4
אליה,3
אליהו,3
אליהם,5
אליו,3
אליך,4
אליכם,10
אלינו,3
אלך,1
אלמוג,5
אלפי,2
אלפים,8
אם,115
אמון,1
אמונה,1
אמור,5
אמורים,2
אמין,4
אמינה,1
אמיר,1
אמן,1
אמנם,1
אמצעי,6
אמר,2
אמרה,5
אמרו,10
אמריקה,1
אמרת,1
אמרתי,2
אמת,7
אנא,9
אנדרואיד,6
אנו,9
אנונימי,2
אנוש,1
אנושי,3
אנחנו,19
אנחעו,1
אני,156
אנסה,4
אנרגיות,1
אנשי,2
אנשים,56
אסדר,1
אסדת,1
אסונות,1
אסור,3
אסטרונומי,1
אסמכתא,1
אסמסים,1
אסתר,1
אעדיף,1
אעדכן,2
אעזקה,1
אעלה,1
אעשה,1
אף,5
אפ,1
אפוד,2
אפילו,9
אפל,3
אפלייה,2
אפליקציה,28
אפליקציות,16
אפליקצייה,1
אפליקציית,7
אפליקצית,2
אפלצקייה,1
אפלקיצה,1
אפלקצייה,1
אפס,1
אפקטיבי,2
אפשר,52
אפשרויות,2
אפשרות,15
אפשרי,6
אפשרית,1
אצבעות,1
אצל,3
אצלה,1
אצלהם,1
אצלי,10
אצלינו,1
אצלך,1
אצלכם,1
אצלנו,4
אקבל,1
אקח,5
אקטיב,16
אקים,1
אקנה,1
אקספרס,1
ארגון,1
ארגוני,2
ארגונים,2
ארדיטי,1
ארה,1
ארוחות,1
ארוך,1
ארוכות,2
ארכז,1
ארצית,3
אש,1
אשדוד,6
אשכים,1
אשלח,1
אשליה,1
אשמח,25
אשקלון,3
אשר,1
את,275
אתבייש,1
אתגר,1
אתה,32
אתי,4
אתכם,3
אתם,9
אתמול,10
אתר,2
בgfs,1
בyes,1
בא,3
באג,1
באגודת,1
באה,1
באוכלוסיות,1
באומנים,2
באופן,16
באורט,1
באותה,1
באותו,3
באזור,7
באזורים,1
באזעקה,2
באחא,5
באחריות,1
באחת,1
באטימות,1
באיזה,2
באיזור,4
באיחור,2
באייפון,2
באייפונים,1
באיכות,3
באים,1
באינטרנט,4
באינטרקום,1
באיסוף,1
באישור,1
באלפי,1
באמזון,1
באמנותו,1
באמצע,1
באמצעות,26
באמצעי,2
באמצעים,3
באמת,15
באנדרואיד,2
באנשי,1
באנשים,3
באף,2
באפליקציה,10
באפליקציות,1
באפליקצייה,1
באפליקציית,3
באפשרויות,1
באפשרות,1
באר,1
בארנונה,1
בארץ,6
באשדוד,5
באשמתך,1
באתר,6
באתרים,2
בבאר,2
בבוקר,1
בבחינת,1
בבטל,1
בביטוח,2
בביפר,2
בביפרים,1
בביקור,1
בבירוקרטיה,1
בבירור,1
בבית,5
בביתם,1
בבלוטות,1
בבן,1
בבנק,2
בבנקים,3
בבעיות,1
בבקשה,25
בברכה,3
בגבעת,1
בגדול,4
בגולדה,1
בגולן,2
בגוש,1
בגלישה,1
בגלל,21
בדבריהם,1
בדגל,1
בדגם,1
בדיבור,1
בדיון,1
בדיוק,21
בדיזינגוף,1
בדיחה,1
בדילאיי,1
בדיליי,1
בדיקה,1
בדק,1
בדקה,1
בדקו,2
בדקתי,4
בדרך,3
בדרכים,2
בה,12
בהבנה,1
בהבנת,1
בהגדרה,3
בהגדרות,1
בהודעה,1
בהודעות,2
בהודעת,3
בהוט,6
בהוצאה,1
בהורדת,2
בהחזר,1
בהחלט,6
בהירות,1
בהכל,1
בהכרח,2
בהלה,1
בהם,1
בהמון,1
בהמשך,4
בהן,1
בהנגשה,1
בהנחה,2
בהערות,1
בהפתעה,1
בהצלחה,3
בהקדם,4
בהקלדה,3
בהרבה,4
בהרצאות,1
בהשוואה,1
בהשתתפות,1
בהתאם,2
בהתאמה,2
בהתחלה,2
בהתחשב,1
בהתייחסות,1
בהתכתבויות,1
בהתכתבות,2
בהתנדבות,1
בהתקשרות,2
בהתראות,1
בהתרעות,1
בו,8
בוא,1
בואו,7
בודק,2
בודקים,1
בודקת,2
בוואטסאפ,3
בוואסטפ,1
בוודאי,2
בווטסאפ,3
בוועד,1
בוועדת,1
בוחרים,1
בוחרת,1
בוט,1
בול,1
בולשיט,3
בום,1
בומים,2
בונה,1
בונים,1
בוצעה,1
בוקר,18
בושה,1
בזה,8
בזהירות,1
בזום,8
בזיהוי,2
בזכויות,3
בזכות,2
בזמן,33
בזמנו,2
בחברה,1
בחברות,1
בחברת,1
בחדשות,2
בחו,1
בחודש,1
בחולון,1
בחום,2
בחוסר,2
בחוץ,1
בחוק,2
בחורה,1
בחזרה,1
בחיי,1
בחיים,1
בחילופי,1
בחילוץ,1
בחינם,3
בחינת,1
בחיפה,4
בחירה,2
בחירום,2
בחירות,1
בחלוקה,1
בחלק,4
בחלקן,1
בחלקת,1
בחמל,1
בחנות,3
בחסר,1
בחקיקה,1
בחקלאות,1
בחרדות,1
בחרו,2
בחרנו,1
בחשבון,1
בחשיבות,1
בט,1
בטוב,1
בטוח,3
בטוחה,3
בטון,1
בטח,6
בטיולים,1
בטיחותי,1
בטיפול,5
בטיפים,1
בטכנולוגיה,2
בטלוויזיה,4
בטלויזיה,4
בטלפון,7
בטעות,1
בטענות,1
בי,1
ביאליק,2
ביגי,1
ביד,1
בידי,1
בידיוק,1
בידיך,1
בידך,1
ביהוד,1
ביוזמת,1
ביום,9
ביומיים,1
ביותר,4
ביזיונית,1
ביחד,3
ביטוח,2
ביטון,1
ביטחון,4
ביטחוני,1
ביטל,1
בייצור,1
בים,1
בימי,1
בימים,5
בימינו,1
בין,24
בינגו,1
בינתיים,5
ביס,2
ביעקוב,1
ביפר,3
ביצוע,1
ביקורות,1
ביקורים,1
ביקורת,3
ביקוש,1
ביקש,1
ביקשו,1
ביקשתי,5
בירוקרטיים,1
בירושלים,7
בישובים,1
בישראל,9
בית,14
ביתי,1
ביתיות,1
בך,2
בכבוד,2
בכבודו,2
בכבלים,1
בכוונת,1
בכולן,1
בכזה,1
בכי,4
בכיוון,1
בכייף,1
בכך,2
בכל,39
בכלל,19
בכללי,1
בכמות,1
בכפר,2
בכרמיאל,1
בכשירות,1
בכתב,1
בכתוביות,1
בלבד,15
בלבולי,1
בלגן,1
בלוטוס,1
בלוטות,1
בלחיצת,1
בלחץ,1
בלטון,1
בלי,19
בלילה,4
בלילות,2
בלינק,3
בלעדיהן,1
בלצאת,1
בלתי,2
במאבק,1
במאגר,2
במבחן,1
במבצע,1
במגירה,1
במדינה,1
במדינת,2
במה,5
במהירות,1
במהלב,3
במהלך,2
במהרה,2
במודעות,1
במועדון,2
במועצה,2
במחיר,1
במחירים,2
במחלקת,1
במחשב,2
במטבח,1
במטח,1
במידה,6
במידע,3
במידת,1
במיוחד,7
במייל,7
במילים,1
במיעוטו,1
במישהו,1
במכבי,3
במכרז,1
במכשירי,1
במלאי,1
במלוא,2
במלחמת,1
בממד,2
בממשלה,1
במנהל,1
במס,2
במסגרת,2
במסכים,1
במספר,4
במעבד,1
במעקב,1
במערב,1
במפגש,1
במפרט,1
במצב,13
במצבי,1
במצוקה,2
במצטבר,1
במקביל,3
במקום,15
במקומות,1
במקרה,5
במקרים,1
במרחב,1
במרכז,3
במשהו,1
במשימתו,1
במשך,3
במשמרת,1
במשרד,3
במתח,2
במתמללים,1
בן,9
בנאדם,1
בנגישות,1
בנד,7
בנו,1
בנוגע,1
בנוחיות,1
בנוי,1
בנוסף,8
בנושא,11
בנושאים,1
בני,5
בניגוד,2
בנייד,1
בנפרד,1
בנפש,2
בנק,6
בנקאי,1
בנקאים,1
בנקודת,2
בנקים,1
בנתיים,1
בסבבה,1
בסביבה,1
בסבסוד,1
בסגנון,2
בסדר,8
בסוף,3
בסופו,3
בסיב,1
בסיס,2
בסיסי,1
בסך,1
בסל,6
בסלולארי,1
בסלולר,1
בסלי,1
בסמרטפון,1
בסניפים,1
בספוטיפיי,1
בסקר,2
בסרטון,1
בע,1
בעבודה,1
בעבורו,1
בעבר,5
בעברית,1
בעד,1
בעדה,1
בעו,1
בעובדה,1
בעוד,4
בעוטף,4
בעול,1
בעולמנו,1
בעומס,1
בעורף,1
בעזרת,2
בעזרתו,1
בעיברית,1
בעיה,16
בעיות,6
בעיית,1
בעיניו,3
בעיניי,1
בעיניך,3
בעיקר,5
בעיקרו,1
בעיקרון,1
בעיר,9
בעיריה,1
בעיריות,2
בעירייה,2
בעיריית,5
בעיתון,1
בעיתות,1
בעל,4
בעלות,1
בעלי,4
בעליל,1
בעלת,1
בעמותה,2
בעמק,1
בעניין,6
בעפולה,1
בעצם,2
בעצמו,2
בעצמי,1
בעצמם,1
בעקבות,4
בעקיצה,1
בערד,1
בערוץ,11
בערוצים,4
בערים,3
בעשרת,1
בעת,9
בפאלפון,1
בפומבי,2
בפוסט,1
בפועל,2
בפייסבוק,4
בפינה,1
בפיקוד,3
בפלאפון,8
בפני,1
בפניות,1
בפנייה,2
בפעילות,1
בפעם,1
בפעמון,1
בפרט,1
בפרטי,18
בפרטיותה,1
בפרי,2
בפתח,2
בצאט,1
בצבע,2
בצורה,6
בצורן,2
בציבור,1
בצילצול,1
בצירוף,1
בצלצול,1
בצמיד,2
בצפון,6
בקבוצה,15
בקבוצות,1
בקבוצת,4
בקבלת,2
בקהילתנו,1
בקול,7
בקופה,1
בקופסא,1
בקופת,2
בקטע,1
בקיבוץ,1
בקידום,1
בקיצור,2
בקישור,8
בקלות,1
בקליטה,1
בקליניקה,1
בקצב,1
בקצרה,1
בקרב,3
בקרוב,4
בקריות,1
בקריית,1
בקרית,1
בקשה,9
בקשות,1
בקשר,2
בקשתי,1
בראייה,1
בראש,1
בראשו,1
בראשון,4
בראשונות,1
בראשלצ,1
ברבים,1
ברגע,2
ברוב,2
ברווחה,5
ברוך,2
ברוכי,1
ברופא,1
ברור,14
ברורה,1
ברזל,4
ברחבי,2
ברחוב,2
ברטט,2
בריא,1
בריגל,1
ברירה,1
ברישום,1
ברישיון,1
ברכישת,1
ברמה,3
ברמות,2
ברמת,2
ברנוי,9
ברנע,1
ברנפון,2
ברעננה,1
ברצינות,1
ברצף,1
ברק,3
ברקע,1
ברשויות,1
ברשות,3
ברשיות,1
ברשימה,3
ברשת,1
בשביל,7
בשבילי,1
בשבילך,1
בשבילם,1
בשבת,1
בשום,1
בשוני,1
בשוק,1
בשטות,1
בשטח,2
בשיא,1
בשידור,3
בשידורים,1
בשיחה,3
בשיתוף,1
בשכונות,1
בשכן,1
בשל,2
בשלב,2
בשלוף,1
בשלושה,1
בשלמותה,1
בשם,3
בשמחה,1
בשמחת,1
בשמיעה,4
בשמירה,1
בשנות,1
בשניהם,1
בשעה,5
בשעון,4
בשעונים,3
בשעות,1
בשעת,4
בשפה,1
בשפת,2
בת,1
בתגובות,1
בתוך,2
בתוכה,1
בתוכניות,1
בתום,1
בתוספת,2
בתוקף,1
בתור,3
בתושבי,1
בתחום,4
בתחושה,1
בתי,3
בתיק,1
בתכל,1
בתכלס,1
בתל,5
בתמלול,2
בתנאי,1
בתפעול,2
בתפריט,1
בתקווה,1
בתקופה,3
בתקציבים,1
בתקשורת,2
בתרגום,1
בתשובה,1
גאה,1
גבוה,1
גבול,1
גג,2
גדול,4
גדולה,8
גדולים,1
גובה,1
גודל,1
גולדבלט,1
גולן,1
גולשות,1
גוף,2
גופים,1
גורם,4
גורמים,2
גוש,1
גיבויים,1
גיוס,1
גילוי,1
גלאי,4
גלגלים,1
גלקסי,1
גם,146
גמור,2
גמלת,2
גמני,1
גן,6
גני,1
גר,2
גרה,5
גרוע,1
גרועה,6
גרועות,1
גרות,1
גרים,2
גרימברג,1
גרמין,3
גרנוט,1
גרנות,8
גת,1
דאגת,1
דאגתי,1
דב,2
דבוקים,1
דבר,21
דברי,1
דבריה,1
דברים,17
דגם,13
דגש,3
דואג,1
דואגת,3
דובר,7
דוברי,1
דוגמא,1
דוגמאות,1
דווקא,7
דוחף,1
דויד,1
דולר,1
דומה,2
דומיה,1
דומייה,6
דומים,2
דור,2
דורית,1
דורש,2
דורשת,1
דחופה,1
דחילק,1
די,5
דיבור,11
דיבר,1
דיברה,2
דיברתי,4
דיגיטלי,1
דיגיתל,3
דיווח,2
דיווחים,2
דיון,3
דיונים,1
דיייי,1
דיילי,2
דילאיי,1
דין,2
דינמים,1
דיס,1
דליי,3
דמי,2
דמם,1
דממה,1
דן,2
דנה,1
דעה,1
דעות,1
דעת,3
דעתה,1
דעתי,4
דפדפי,1
דפוק,1
דפים,1
דקדוק,1
דקה,3
דקות,3
דקת,4
דרום,1
דרישותי,1
דרך,38
דרכו,2
דתיה,1
הfbi,1
האבל,1
האגו,1
האדונים,1
האדמוניות,1
האוטומטית,1
האוייב,2
האופציות,1
האות,1
האזור,2
האזעקה,11
האזעקות,3
האזרחי,1
האזרחים,1
האחרון,3
האחרונה,1
האחרונות,1
האחרונים,4
האחרות,4
האחריות,2
האחרים,3
האחת,1
האטת,1
האיזורים,1
האייפון,1
האינטרנט,3
האיש,2
האישי,6
האישית,2
האלה,5
האלו,2
האלוהים,1
האם,37
האמינות,1
האמיתי,1
האמת,2
האנדרואיד,1
האנרגיות,2
האנשים,11
האסון,1
האפליקציה,24
האפליקציות,12
האפשר,1
האפשרויות,1
האפשרות,2
האפשרי,2
האפשריות,2
האקוטיזם,2
האקטיב,1
הארגונים,1
הארה,1
הארוך,1
הארץ,7
האתחול,1
האתר,3
הבא,4
הבאה,2
הבדיקה,1
הבדל,5
הבדלים,1
הבהוב,4
הבהרה,1
הבועה,2
הבוקר,2
הבחירה,1
הבטיחו,1
הביא,1
הביאו,1
הביטוי,1
הביטחון,5
הביטחוני,3
הביטחונית,1
הביפר,2
הביפרים,1
הביצועים,1
הביקורת,1
הבית,2
הבלתי,1
הבן,1
הבנה,2
הבנו,2
הבנק,2
הבנקאים,1
הבנקים,2
הבנת,3
הבנתה,1
הבנתי,16
הבעיה,9
הבעיות,1
הבעייה,1
